STN--- WBAN   YEARMODA    TEMP
008403 99999  20140101    85.8
008403 99999  20140102    86.3
008403 99999  20140103    85.9
008403 99999  20140104    85.6
008403 99999  20140105    84.8
008403 99999  20140106    86.8
008403 99999  20140107    87.7
008403 99999  20140108    89.7
008403 99999  20140109    86.8
008403 99999  20140110    85.8
008403 99999  20140111    84.7
008403 99999  20140112    87.0
008403 99999  20140113    86.4
008403 99999  20140114    85.3
008403 99999  20140115    84.7
008403 99999  20140116    85.8
008403 99999  20140117    85.2
008403 99999  20140118    84.8
008403 99999  20140119    86.1
008403 99999  20140120    87.3
008403 99999  20140121    87.6
008403 99999  20140122    85.5
008403 99999  20140123    84.4
008403 99999  20140124    83.3
008403 99999  20140125    84.2
008403 99999  20140126    85.4
008403 99999  20140127    86.4
008403 99999  20140128    87.6
008403 99999  20140129    88.7
008403 99999  20140130    88.8
008403 99999  20140131    88.7
008403 99999  20140201    87.9
008403 99999  20140202    87.9
008403 99999  20140203    87.8
008403 99999  20140204    87.7
008403 99999  20140205    89.0
008403 99999  20140206    87.5
008403 99999  20140207    90.8
008403 99999  20140208    91.2
008403 99999  20140209    88.9
008403 99999  20140210    89.4
008403 99999  20140211    86.1
008403 99999  20140212    88.8
008403 99999  20140213    88.4
008403 99999  20140214    89.1
008403 99999  20140215    90.9
008403 99999  20140216    88.5
008403 99999  20140217    87.8
008403 99999  20140218    89.8
008403 99999  20140219    89.9
008403 99999  20140220    89.1
008403 99999  20140221    87.8
008403 99999  20140222    88.6
008403 99999  20140223    87.0
008403 99999  20140224    86.4
008403 99999  20140225    88.9
008403 99999  20140226    88.6
